City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,lorengau,-2.0226,147.2712,28.56,78,97,4.71,PG,1702503358
243,chudniv,50.052,28.1175,0.55,99,100,6.1,UA,1702503651
244,kayangel,8.0823,134.7173,28.44,77,97,9.17,PW,1702503651
245,altay,47.8667,88.1167,-25.21,70,16,2.5,CN,1702503651
246,urzhar,47.093,81.6294,-20.94,83,5,1.73,KZ,1702503651
247,cacheu,12.2706,-16.1658,24.05,59,69,2.44,GW,1702503652
248,aasiaat,68.7098,-52.8699,-8.46,73,100,6.78,GL,1702503652
249,sault ste. marie,46.5168,-84.3333,-0.84,56,75,5.66,CA,1702503522
250,phayao,19.25,100.25,18.79,90,33,0.46,TH,1702503652
251,kill devil hills,36.0307,-75.676,12.0,80,0,0.0,US,1702503652
252,bria,6.5423,21.9863,21.91,40,59,1.84,CF,1702503652
253,nicoya,10.1483,-85.452,28.43,70,0,5.71,CR,1702503652
254,brisas de zicatela,15.8369,-97.0419,29.29,58,20,3.6,MX,1702503652
255,kulunda,52.566,78.9385,-22.24,78,100,3.63,RU,1702503652
256,george,-33.963,22.4617,16.11,82,92,2.38,ZA,1702503652
257,astara,38.5,48.6667,8.99,97,100,2.67,AZ,1702503652
258,kargopol',61.5071,38.9456,-11.95,93,100,3.6,RU,1702503652
259,nanding,36.7483,118.0558,1.57,98,100,4.34,CN,1702503653
260,taulaga,-11.0553,-171.0883,26.21,91,100,7.4,AS,1702503653
261,ugurludag,40.4463,34.4526,4.27,69,97,1.12,TR,1702503653
262,tongren,27.7172,109.1853,14.29,97,25,1.03,CN,1702503653
263,srinagar,34.0833,74.8167,1.86,39,2,0.66,IN,1702503653
264,brokopondo,4.75,-55.1667,28.02,69,100,4.1,SR,1702503653
265,uturoa,-16.7333,-151.4333,27.0,83,54,7.25,PF,1702503653
266,cherdyn',60.403,56.4787,-18.19,83,100,4.19,RU,1702503653
267,brainerd,46.358,-94.2008,4.14,60,0,3.09,US,1702503653
268,piritiba,-11.7303,-40.5553,26.85,40,29,5.5,BR,1702503653
269,susuman,62.7833,148.1667,-26.3,100,100,1.58,RU,1702503653
270,mendoza,-32.8908,-68.8272,30.74,22,0,3.09,AR,1702503634
271,johi,26.6921,67.6133,17.05,23,80,2.7,PK,1702503653
272,siyabuswa,-25.1132,29.0445,20.33,68,73,7.03,ZA,1702503654
273,murzuq,25.9155,13.9184,14.77,41,9,2.3,LY,1702503654
274,pisco,-13.7,-76.2167,25.03,61,0,7.72,PE,1702503654
275,arkhangel'sk,64.5401,40.5433,-9.93,85,100,3.0,RU,1702503367
276,el porvenir,13.7617,-87.3458,27.63,51,21,3.73,HN,1702503654
277,olonkinbyen,70.9221,-8.7187,1.78,85,100,12.04,SJ,1702503654
278,gharo,24.7424,67.5856,14.12,20,88,3.56,PK,1702503654
279,paita,-5.0892,-81.1144,23.24,74,33,8.07,PE,1702503654
280,pechora,65.1472,57.2244,-13.41,94,100,4.92,RU,1702503654
281,zavoronezhskoye,52.8801,40.5526,-10.18,93,99,5.33,RU,1702503654
282,la sarre,48.8002,-79.1996,-9.93,86,100,4.34,CA,1702503654
283,usinsk,65.9939,57.5281,-13.63,94,100,7.79,RU,1702503654
284,bandrele,-12.9067,45.1914,26.86,89,0,2.06,YT,1702503655
285,maitum,6.0392,124.4986,24.86,82,48,2.33,PH,1702503366
286,villa tecolutilla,18.2833,-93.3167,22.62,89,99,3.18,MX,1702503655
287,gaalkacyo,6.7697,47.4308,23.63,78,67,6.19,SO,1702503655
288,okha,53.5739,142.9478,-17.88,96,100,9.91,RU,1702503655
289,tanabe,33.7333,135.3667,9.34,82,6,1.72,JP,1702503655
290,menongue,-14.6585,17.691,18.4,86,100,1.36,AO,1702503655
291,mossel bay,-34.1831,22.146,17.74,77,76,2.9,ZA,1702503655
292,redwood falls,44.5394,-95.1169,10.01,29,0,4.63,US,1702503595
293,sakakah,29.9697,40.2064,13.76,74,6,6.76,SA,1702503655
294,villa de arista,22.65,-100.8333,15.45,63,100,3.53,MX,1702503656
295,yauya,-8.9833,-77.3,16.85,57,91,2.14,PE,1702503656
296,hilo,19.7297,-155.09,26.82,73,75,2.06,US,1702503656
297,suva,-18.1416,178.4415,27.71,65,75,2.57,FJ,1702503548
298,wynyard,-41.0,145.7167,14.88,92,100,5.33,AU,1702503656
299,lihue,21.9789,-159.3672,24.58,87,75,10.29,US,1702503656
300,kampong thom,12.7111,104.8887,22.81,79,72,2.53,KH,1702503656
301,palmer,42.1584,-72.3287,3.75,47,75,7.72,US,1702503656
302,biga,40.2281,27.2422,9.37,81,39,2.73,TR,1702503656
303,sandwich,41.6459,-88.6217,4.83,41,0,3.6,US,1702503656
304,vazante,-17.9869,-46.9078,28.09,44,49,2.88,BR,1702503656
305,tolanaro,-25.0319,46.9987,24.64,93,94,3.52,MG,1702503656
306,ekibastuz,51.6667,75.3667,-24.06,82,34,2.81,KZ,1702503656
307,kerikeri,-35.2268,173.9474,21.06,73,9,1.34,NZ,1702503657
308,raduzhny,62.0961,77.475,-21.0,100,100,2.32,RU,1702503657
309,vilyuchinsk,52.9306,158.4028,-5.85,60,76,12.42,RU,1702503657
310,guymon,36.6828,-101.4816,3.0,100,100,3.6,US,1702503657
311,thompson,55.7435,-97.8558,-3.91,74,75,3.09,CA,1702503657
312,forster,-32.1667,152.5167,27.43,52,69,2.23,AU,1702503657
313,digne-les-bains,44.0833,6.25,3.64,97,67,1.84,FR,1702503657
314,thief river falls,48.1191,-96.1812,-2.04,80,0,5.14,US,1702503499
315,salinopolis,-0.6136,-47.3561,27.72,79,47,5.29,BR,1702503657
316,yelizovo,53.1873,158.3805,-5.92,45,20,7.0,RU,1702503657
317,aripuana,-9.1667,-60.6333,27.05,77,70,0.69,BR,1702503366
318,saint-philippe,-21.3585,55.7679,24.77,81,83,2.67,RE,1702503657
319,lupane,-18.9315,27.807,22.32,73,100,2.79,ZW,1702503657
320,ancud,-41.8697,-73.8203,12.49,69,62,4.75,CL,1702503657
321,ambon,-3.6954,128.1814,30.37,42,40,1.03,ID,1702503658
322,auki,-8.7676,160.7034,26.83,85,63,1.24,SB,1702503658
323,north platte,41.1239,-100.7654,5.94,48,0,2.68,US,1702503658
324,maues,-3.3836,-57.7186,25.63,89,100,0.65,BR,1702503658
325,georgetown,5.4112,100.3354,25.96,89,20,3.6,MY,1702503658
326,taro,-8.3862,115.28,22.0,94,76,0.31,ID,1702503658
327,mount pearl,47.5166,-52.7813,1.85,82,75,6.69,CA,1702503658
328,mulayjah,27.271,48.4242,17.38,48,0,6.53,SA,1702503658
329,albertina,-22.2008,-46.6158,22.48,55,0,1.98,BR,1702503659
330,miquelon,47.0975,-56.3814,4.0,79,100,11.08,PM,1702503659
331,yreka,41.7354,-122.6345,8.6,70,0,1.54,US,1702503659
332,impfondo,1.6381,18.0667,21.34,65,65,0.91,CG,1702503659
333,hami,42.8,93.45,-9.95,61,100,3.08,CN,1702503659
334,vadso,70.0744,29.7487,-9.91,79,40,6.17,NO,1702503659
335,dukhan,25.4297,50.7858,22.15,63,22,7.27,QA,1702503659
336,mbekenyera,-10.0,38.9833,23.89,90,97,2.61,TZ,1702503659
337,maintirano,-18.0667,44.0167,27.09,75,99,2.16,MG,1702503659
338,lu-uk,5.9684,121.3122,26.12,83,89,1.2,PH,1702503659
339,barauna,-5.08,-37.6167,29.5,69,0,6.41,BR,1702503660
340,zeya,53.75,127.2667,-30.29,88,5,2.01,RU,1702503660
341,ghadamis,30.1337,9.5007,16.76,22,93,4.71,LY,1702503660
342,bururi,-3.85,29.6333,15.46,92,100,0.85,BI,1702503660
343,umm kaddadah,13.6017,26.6876,16.11,33,83,7.07,SD,1702503660
344,twon-brass,4.3151,6.2418,27.63,64,0,3.67,NG,1702503660
345,makushino,55.2103,67.2442,-23.77,83,24,3.78,RU,1702503660
346,varberg,57.1056,12.2508,-2.09,85,100,4.68,SE,1702503660
347,al hawatah,13.4167,34.6333,22.95,18,99,5.03,SD,1702503660
348,tromso,69.6496,18.957,-4.99,68,0,8.75,NO,1702503660
349,north bend,43.4065,-124.2243,13.42,71,0,1.54,US,1702503660
350,quatre cocos,-20.2078,57.7625,25.61,81,15,3.67,MU,1702503661
351,misratah,32.3754,15.0925,20.07,39,26,4.96,LY,1702503661
352,peterhead,57.5058,-1.7981,2.38,71,100,11.12,GB,1702503661
353,shingu,33.7333,135.9833,8.52,71,6,2.26,JP,1702503661
354,yanykurgan,43.915,67.2481,-7.77,19,0,6.32,KZ,1702503661
355,albacete,38.8333,-2.0,5.66,70,0,5.66,ES,1702503661
356,shijiang,27.0819,110.7933,12.97,93,5,0.5,CN,1702503661
357,muisne,0.6,-80.0333,26.12,84,65,4.19,EC,1702503661
358,isla vista,34.4133,-119.861,24.69,57,0,3.6,US,1702503661
359,oranjemund,-28.55,16.4333,15.57,84,10,4.9,NA,1702503661
360,volcan,8.7667,-82.6333,23.06,72,32,1.77,PA,1702503661
361,fale old settlement,-9.3852,-171.2468,26.05,93,100,7.99,TK,1702503662
362,yarmouth,41.7057,-70.2286,6.26,49,0,9.39,US,1702503662
